stage,variant,case,family,collision,goal_reached,mission_outcome,observed_duration_s,minimum_true_hull_clearance_m,north_progress_m,budget_unknown_fraction,mean_integration_steps
R08_open,u2_exhaustive_b2000000,crossing_000,crossing,False,,,20.000000000000004,4.122120704156996,2.7224711881096617,0.0,625.61
R08_open,u2_exhaustive_b2048,crossing_000,crossing,True,,,12.0,-0.03956961034937079,11.343916389558455,0.31666666666666665,1007.0583333333333
R08_open,u2_exhaustive_b512,crossing_000,crossing,True,,,13.5,-0.042618632792156275,11.245161243357376,0.4,348.0740740740741
R08_open,u2_first_b2000000,crossing_000,crossing,False,,,20.000000000000004,4.122120704156996,2.7224711881096617,0.0,138.61
R08_open,u2_first_b2048,crossing_000,crossing,True,,,12.0,-0.03956961034937079,11.343916389558455,0.31666666666666665,869.3
R08_open,u2_first_b512,crossing_000,crossing,True,,,13.6,-0.007309704439983689,11.1909669824103,0.34558823529411764,243.51470588235293
R08_open,u4_first_b2000000,crossing_000,crossing,False,,,20.000000000000004,4.122120704156996,2.7224711881096617,0.0,114.055
R08_open,u4_first_b2048,crossing_000,crossing,False,,,20.000000000000004,1.1178820819016733,3.765043644756382,0.165,592.05
R08_open,u4_first_b512,crossing_000,crossing,True,,,13.3,-0.05383098693233901,11.29596936318985,0.3383458646616541,220.6315789473684
R08_open,u2_exhaustive_b2000000,crossing_001,crossing,False,,,20.000000000000004,5.172813522584138,1.2342650457008055,0.0,1036.9
R08_open,u2_exhaustive_b2048,crossing_001,crossing,False,,,20.000000000000004,0.3737047403950402,3.9051548832242053,0.345,1002.645
R08_open,u2_exhaustive_b512,crossing_001,crossing,False,,,20.000000000000004,0.4061104410741109,3.706660117237102,0.58,420.73
R08_open,u2_first_b2000000,crossing_001,crossing,False,,,20.000000000000004,5.172813522584138,1.2342650457008055,0.0,597.64
R08_open,u2_first_b2048,crossing_001,crossing,False,,,20.000000000000004,0.3737047403950402,3.9051548832242053,0.345,827.585
R08_open,u2_first_b512,crossing_001,crossing,False,,,20.000000000000004,0.5393748555727962,3.8192304914280637,0.385,261.53
R08_open,u4_first_b2000000,crossing_001,crossing,False,,,20.000000000000004,5.193007488636557,1.229611400892737,0.0,378.6
